Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-03-24,72.827,73.027,72.312,72.379,636100,0.0,0.0
2017-03-27,71.558,72.283,70.661,71.577,1083900,0.0,0.0
2017-03-28,71.329,72.989,71.31,72.331,507000,0.0,0.0
2017-03-29,72.216,73.495,72.035,73.294,601600,0.0,0.0
2017-03-30,73.523,73.915,73.018,73.714,598600,0.0,0.0
2017-03-31,73.466,74.621,73.466,74.42,1000900,0.0,0.0
2017-04-03,74.487,75.231,73.962,74.458,1781200,0.0,0.0
2017-04-04,74.458,74.897,73.552,73.791,697800,0.0,0.0
2017-04-05,74.811,75.708,73.552,73.819,944500,0.0,0.0
2017-04-06,74.096,75.432,73.752,75.374,565400,0.0,0.0
2017-04-07,75.575,76.777,75.212,76.557,1177800,0.0,0.0
2017-04-10,76.538,78.036,76.538,77.426,880700,0.0,0.0
2017-04-11,77.33,77.95,76.777,77.626,733300,0.0,0.0
2017-04-12,77.34,77.54,75.403,76.014,905100,0.0,0.0
2017-04-13,75.861,76.405,75.336,75.384,828300,0.0,0.0
2017-04-17,76.071,77.292,75.899,77.206,1021600,0.0,0.0
2017-04-18,76.567,77.97,76.567,76.996,995900,0.0,0.0
2017-04-19,77.34,77.855,76.834,77.216,700000,0.0,0.0
2017-04-20,77.874,78.208,77.397,77.769,586000,0.0,0.0
2017-04-21,77.951,78.008,76.662,77.426,548600,0.0,0.0
2017-04-24,78.475,79.305,78.332,78.418,1099600,0.0,0.0
2017-04-25,79.277,81.443,78.017,80.507,1134500,0.0,0.0
2017-04-26,80.736,83.122,80.479,82.005,1432800,0.0,0.0
2017-04-27,81.948,82.559,80.756,80.756,775000,0.0,0.0
2017-04-28,80.985,80.994,79.639,80.04,905800,0.0,0.0
2017-05-01,80.393,80.479,78.561,78.59,710400,0.0,0.0
2017-05-02,78.38,78.943,77.97,78.103,944100,0.0,0.0
2017-05-03,77.979,78.742,77.636,78.637,652000,0.0,0.0
2017-05-04,78.666,79.134,77.96,78.294,494900,0.0,0.0
2017-05-05,78.504,79.544,77.884,79.191,611500,0.0,0.0
2017-05-08,79.048,79.343,77.569,78.275,490400,0.0,0.0
2017-05-09,78.284,79.076,77.12,77.569,675800,0.0,0.0
2017-05-10,77.636,78.82,77.378,77.731,730600,0.1,0.0
2017-05-11,77.512,77.521,76.327,77.034,496500,0.0,0.0
2017-05-12,76.824,77.225,76.394,76.528,314300,0.0,0.0
2017-05-15,76.986,77.292,76.403,76.738,601800,0.0,0.0
