Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-03-09,90.315,91.156,89.941,90.471,1081600,0.0,0.0
2017-03-10,90.635,91.869,90.315,90.983,1485800,0.0,0.0
2017-03-13,93.176,95.699,92.765,95.324,3453700,0.0,0.0
2017-03-14,95.232,96.722,94.821,95.689,2777100,0.0,0.0
2017-03-15,95.799,95.945,94.255,95.735,2129400,0.0,0.0
2017-03-16,95.964,99.254,94.849,97.033,4710000,0.0,0.0
2017-03-17,98.038,100.817,97.517,100.707,3913500,0.0,0.0
2017-03-20,100.533,104.052,100.533,102.032,5013300,0.0,0.0
2017-03-21,103.266,104.143,101.036,102.133,4163700,0.0,0.0
2017-03-22,102.233,103.75,101.721,103.595,2473000,0.0,0.0
2017-03-23,103.54,104.262,102.16,102.654,2302600,0.0,0.0
2017-03-24,103.047,103.522,101.347,102.288,1666300,0.0,0.0
2017-03-27,101.274,105.807,100.698,104.783,3487200,0.0,0.0
2017-03-28,105.085,106.191,104.088,105.267,2148000,0.0,0.0
2017-03-29,104.984,106.008,104.692,105.551,1213300,0.0,0.0
2017-03-30,105.368,105.77,104.006,104.463,1685900,0.0,0.0
2017-03-31,103.586,105.039,103.001,104.747,1979600,0.0,0.0
2017-04-03,107.68,109.49,105.898,106.328,3477200,0.0,0.0
2017-04-04,106.017,106.803,105.35,106.693,1668100,0.0,0.0
2017-04-05,108.092,109.152,106.483,106.638,3103600,0.0,0.0
2017-04-06,106.181,108.366,106.09,107.708,1953900,0.0,0.0
2017-04-07,107.635,107.799,106.291,106.775,1582800,0.0,0.0
2017-04-10,106.291,107.443,105.395,106.181,1293200,0.0,0.0
2017-04-11,106.392,106.702,104.061,106.227,1934900,0.0,0.0
2017-04-12,106.593,106.995,104.865,105.459,1654600,0.0,0.0
2017-04-13,105.149,105.414,103.193,103.705,2553400,0.0,0.0
2017-04-17,103.979,105.286,103.906,104.774,3059300,0.0,0.0
2017-04-18,104.189,106.072,104.025,105.916,1752300,0.0,0.0
2017-04-19,105.788,106.565,104.865,105.048,1207600,0.0,0.0
2017-04-20,106.181,106.657,105.469,106.154,2107800,0.0,0.0
2017-04-21,106.245,106.355,104.555,105.926,4250200,0.0,0.0
2017-04-24,106.913,106.931,105.304,105.624,2350200,0.0,0.0
2017-04-25,105.77,108.156,105.77,108.046,4245500,0.0,0.0
2017-04-26,112.689,116.253,111.108,114.416,6282700,0.0,0.0
2017-04-27,114.443,115.12,113.328,113.785,2448300,0.0,0.0
2017-04-28,114.279,114.279,112.387,112.424,1522800,0.0,0.0
2017-05-01,113.319,116.061,112.643,115.083,2138700,0.0,0.0
2017-05-02,115.622,115.677,114.114,114.517,1497500,0.0,0.0
2017-05-03,114.462,115.312,113.822,115.019,1322800,0.0,0.0
2017-05-04,115.266,115.568,113.219,113.621,1423300,0.0,0.0
2017-05-05,112.853,113.173,109.526,111.628,3086100,0.0,0.0
2017-05-08,110.395,111.153,108.914,109.855,2901900,0.0,0.0
2017-05-09,110.535,113.71,110.342,113.306,2917400,0.5,0.0
2017-05-10,112.471,113.233,111.673,113.132,1236300,0.0,0.0
2017-05-11,113.214,113.214,111.7,112.177,1051300,0.0,0.0
2017-05-12,114.426,116.684,113.967,114.986,2374900,0.0,0.0
2017-05-15,114.527,116.069,114.04,115.353,1396300,0.0,0.0
2017-05-16,116.032,118.418,115.683,117.39,2408100,0.0,0.0
2017-05-17,115.848,116.234,112.324,112.535,2716000,0.0,0.0
2017-05-18,110.636,113.572,110.608,112.352,1651800,0.0,0.0
